Date,Open,High,Low,Close,Adj Close,Volume
23/04/2014,4.725,4.785,4.7175,4.7725,4.526042,26158000
24/04/2014,4.805,4.865,4.805,4.815,4.566345,39149200
25/04/2014,4.805,4.85,4.6725,4.6825,4.440688,31360000
28/04/2014,4.72,4.745,4.605,4.6625,4.421723,22678800
29/04/2014,4.68,4.69,4.62,4.6725,4.431208,17130000
30/04/2014,4.665,4.67,4.6075,4.6175,4.379046,30574000
01/05/2014,4.6875,4.6975,4.605,4.6425,4.402755,19810400
02/05/2014,4.665,4.665,4.58,4.6075,4.369561,15637600
05/05/2014,4.6025,4.6925,4.5975,4.6575,4.41698,23926000
06/05/2014,4.7025,4.7425,4.55,4.5625,4.326887,41618800
07/05/2014,4.5625,4.605,4.5175,4.5675,4.331629,29390000
08/05/2014,4.55,4.6975,4.5275,4.625,4.386159,43272800
09/05/2014,4.485,4.5275,4.4275,4.5125,4.279468,53953200
12/05/2014,4.5225,4.655,4.52,4.645,4.405126,29985600
13/05/2014,4.5825,4.6575,4.555,4.57,4.334,22110400
14/05/2014,4.5725,4.59,4.5225,4.525,4.291324,21432000
15/05/2014,4.515,4.54,4.455,4.5,4.267614,32589600
16/05/2014,4.465,4.5225,4.465,4.49,4.258132,28396000
19/05/2014,4.5375,4.66,4.5175,4.635,4.395642,36007600
20/05/2014,4.615,4.6275,4.5375,4.56,4.344434,25620000
21/05/2014,4.5775,4.6175,4.5325,4.56,4.344434,21671200
22/05/2014,4.55,4.605,4.55,4.58,4.363488,13036400
23/05/2014,4.605,4.645,4.5775,4.6225,4.403978,18265600
27/05/2014,4.65,4.705,4.635,4.705,4.482578,20968000
28/05/2014,4.7225,4.775,4.6775,4.745,4.520689,22467600
29/05/2014,4.7425,4.7825,4.7275,4.7375,4.513542,17188400
30/05/2014,4.7375,4.7625,4.7125,4.75,4.52545,23912800
02/06/2014,4.765,4.795,4.695,4.735,4.511162,18150000
03/06/2014,4.745,4.75,4.6525,4.715,4.492107,24321200
04/06/2014,4.7025,4.755,4.7,4.72,4.496869,16123600
05/06/2014,4.7275,4.755,4.7,4.74,4.515925,18869600
06/06/2014,4.7625,4.8,4.745,4.7575,4.532597,16105200
09/06/2014,4.7525,4.8075,4.72,4.7625,4.53736,24745600
10/06/2014,4.745,4.81,4.725,4.7875,4.561178,21760800
11/06/2014,4.77,4.8625,4.77,4.85,4.620725,26622800
12/06/2014,4.85,4.9025,4.8075,4.88,4.649305,33714800
13/06/2014,4.93,4.9325,4.8375,4.885,4.65407,22785200
16/06/2014,4.8625,4.9025,4.8275,4.87,4.63978,19862000
17/06/2014,4.875,4.9225,4.85,4.9025,4.670742,15760800
18/06/2014,4.89,4.92,4.845,4.8975,4.665977,21553600
19/06/2014,4.8075,4.8325,4.75,4.785,4.558797,47459200
20/06/2014,4.7975,4.815,4.695,4.7325,4.508778,35314800
23/06/2014,4.67,4.68,4.615,4.6775,4.456378,41420000
24/06/2014,4.67,4.7075,4.585,4.605,4.387306,27578000
25/06/2014,4.6175,4.655,4.575,4.6525,4.432561,21542000
26/06/2014,4.6525,4.655,4.575,4.59,4.373016,25690800
27/06/2014,4.585,4.6225,4.5575,4.595,4.377779,30282000
30/06/2014,4.5775,4.6475,4.5775,4.635,4.415887,18051200
01/07/2014,4.63,4.715,4.615,4.6875,4.465907,32118000
02/07/2014,4.67,4.69,4.6425,4.67,4.449234,17928400
03/07/2014,4.6275,4.725,4.6275,4.7125,4.489725,13689200
07/07/2014,4.72,4.7225,4.6675,4.675,4.453997,12749600
08/07/2014,4.6625,4.6825,4.5925,4.6375,4.41827,22194000
09/07/2014,4.6775,4.7975,4.6425,4.7775,4.551651,38766800
10/07/2014,4.6875,4.7725,4.65,4.7525,4.527833,26630800
11/07/2014,4.7575,4.7775,4.74,4.7625,4.53736,19118800
14/07/2014,4.7825,4.835,4.765,4.8225,4.594525,27263600
15/07/2014,4.83,4.855,4.7975,4.8425,4.613577,39544000
16/07/2014,4.8625,4.9,4.81,4.8375,4.608815,31972800
17/07/2014,4.7825,4.875,4.7825,4.825,4.596905,32483200
18/07/2014,4.725,4.7625,4.6025,4.61,4.39207,56781600
21/07/2014,4.5925,4.67,4.5925,4.6375,4.41827,24336400
22/07/2014,4.6725,4.6975,4.6075,4.6175,4.399216,29881600
23/07/2014,4.62,4.6225,4.515,4.52,4.306324,29735200
24/07/2014,4.545,4.5575,4.495,4.5275,4.31347,25457600
25/07/2014,4.5125,4.5225,4.44,4.4475,4.237251,26613200
28/07/2014,4.4675,4.4675,4.355,4.43,4.220578,33035200
29/07/2014,4.4325,4.505,4.43,4.445,4.23487,21797200
30/07/2014,4.4725,4.5325,4.46,4.52,4.306324,24618400
31/07/2014,4.465,4.5,4.3675,4.375,4.16818,40188000
01/08/2014,4.375,4.4475,4.36,4.4225,4.213433,21988400
04/08/2014,4.4175,4.455,4.39,4.4125,4.203905,24172400
05/08/2014,4.4,4.48,4.3625,4.415,4.206286,29813600
06/08/2014,4.385,4.465,4.3525,4.41,4.201524,22345600
07/08/2014,4.4475,4.4875,4.335,4.365,4.158652,40769600
08/08/2014,4.555,4.775,4.555,4.75,4.52545,89434800
11/08/2014,4.755,4.775,4.7125,4.725,4.501632,34462400
12/08/2014,4.7225,4.75,4.6725,4.725,4.501632,29615200
13/08/2014,4.7325,4.7925,4.7025,4.7525,4.527833,25659600
14/08/2014,4.77,4.77,4.68,4.7,4.477815,25599200
15/08/2014,4.715,4.7875,4.67,4.76,4.534979,36979600
18/08/2014,4.78,4.83,4.7325,4.825,4.596905,28407600
19/08/2014,4.805,4.8675,4.7875,4.8425,4.633986,24826000
20/08/2014,4.825,4.8475,4.8,4.8125,4.605278,22146800
21/08/2014,4.8,4.825,4.76,4.7675,4.562216,27279600
22/08/2014,4.7625,4.81,4.7325,4.77,4.56461,25122400
25/08/2014,4.79,4.8225,4.7675,4.7775,4.571786,15338000
26/08/2014,4.79,4.8725,4.7725,4.8625,4.653126,26963600
27/08/2014,4.8325,4.87,4.8,4.8075,4.600494,18297200
28/08/2014,4.7975,4.8575,4.7825,4.8475,4.638772,17970400
29/08/2014,4.865,4.8725,4.8125,4.8625,4.653126,20793200
02/09/2014,4.875,4.875,4.83,4.875,4.665088,19263600
03/09/2014,4.9,4.9375,4.8675,4.92,4.708149,25945600
04/09/2014,4.9125,5.0375,4.91,5.0075,4.791883,49183200
05/09/2014,5.0025,5.025,4.96,4.9925,4.777528,25379200
08/09/2014,4.9875,4.9975,4.9275,4.9475,4.734467,31928800
09/09/2014,4.925,4.9575,4.88,4.885,4.674658,19858800
10/09/2014,4.9125,4.92,4.8575,4.9025,4.691403,17237600
11/09/2014,4.8675,4.885,4.8,4.8525,4.643556,25072000
12/09/2014,4.8825,4.8825,4.775,4.78,4.574179,26253600
15/09/2014,4.795,4.8025,4.695,4.715,4.511978,29415200
16/09/2014,4.7025,4.81,4.6875,4.785,4.578964,21993600
17/09/2014,4.7725,4.8325,4.75,4.7875,4.581355,17358400
18/09/2014,4.8175,4.865,4.8025,4.86,4.650734,21960400
19/09/2014,4.875,4.88,4.7625,4.77,4.56461,60131600
22/09/2014,4.8675,4.8675,4.7175,4.7225,4.519154,22146400
23/09/2014,4.6975,4.755,4.68,4.7025,4.500015,19614400
24/09/2014,4.7,4.745,4.695,4.73,4.526331,15959200
25/09/2014,4.725,4.7375,4.6175,4.6275,4.428244,29844000
26/09/2014,4.6425,4.6725,4.6225,4.6375,4.437814,24118800
29/09/2014,4.6,4.6625,4.555,4.63,4.430636,20854000
30/09/2014,4.61,4.645,4.5575,4.6125,4.413891,27720400
01/10/2014,4.62,4.6525,4.555,4.5675,4.370828,35097600
02/10/2014,4.56,4.5825,4.4425,4.5475,4.351689,28899600
03/10/2014,4.575,4.6375,4.5575,4.5575,4.361259,23914000
06/10/2014,4.575,4.6125,4.5,4.53,4.334943,19903200
07/10/2014,4.51,4.555,4.4775,4.4825,4.289489,30189600
08/10/2014,4.4775,4.5875,4.4425,4.565,4.368436,26017200
09/10/2014,4.545,4.55,4.44,4.4775,4.284704,30695600
10/10/2014,4.4425,4.4575,4.21,4.2125,4.031114,69137600
13/10/2014,4.24,4.325,4.1925,4.1975,4.01676,39762800
14/10/2014,4.255,4.4125,4.23,4.295,4.110061,37662000
15/10/2014,4.2325,4.3825,4.205,4.36,4.172263,40442800
16/10/2014,4.2825,4.4125,4.2725,4.3625,4.174657,35111600
17/10/2014,4.415,4.465,4.3375,4.355,4.167476,29071600
